year,topic,gamma
1616,1,0.004790269
1616,1,0.197990986
1616,1,0.044783959
1616,1,0.044035807
1616,1,0.102620397
1616,1,0.135603631
1616,1,0.004402007
1616,1,0.010943731
1616,1,0.01183827
1616,1,0.02886184
1616,1,0.007401577
1616,1,0.294026973
1616,1,0.006059624
1616,1,0.184023817
1616,1,0.014628263
1616,1,0.02601429
1616,1,0.024544708
1616,1,0.006233497
1616,1,0.097934664
1616,1,0.029454463
1616,1,0.048296229
1616,1,0.368955878
1616,1,0.583848482
1616,1,0.077943721
1616,1,0.022877901
1616,1,0.026956166
1616,1,0.011226502
1616,1,0.019138819
1616,1,0.034903163
1616,1,0.011226502
1616,1,0.093578076
1616,1,0.004898277
1616,1,0.016904874
1616,1,0.684624986
1616,1,0.007277602
1616,1,0.012169857
1616,1,0.258572765
1616,1,0.005011268
1616,1,0.040599256
1616,1,0.02886184
1616,1,0.024544708
1616,1,0.07929451
1616,1,0.300969113
1616,1,0.024584404
1616,1,0.344056604
1616,1,0.027764232
1616,1,0.085224306
1616,1,0.010174884
1616,1,0.035435538
1616,1,0.00449305
1616,1,0.162070289
1616,1,0.091977299
1616,1,0.122475497
1616,1,0.008090714
1616,1,0.021188293
1616,1,0.442775183
1616,1,0.217586715
1616,1,0.375895559
1616,1,0.042036835
1616,1,0.005451395
1616,1,0.146631531
1616,1,0.017589231
1616,1,0.0030662
1616,1,0.019063832
1616,1,0.027139761
1616,1,0.026261469
1616,1,0.204160024
1616,1,0.035243779
1616,1,0.010174884
1616,1,0.028933726
1616,1,0.111926423
1616,1,0.016172002
1616,1,0.004843671
1616,1,0.013571063
1616,1,0.003023525
1616,1,0.015684386
1616,1,0.045249324
1616,1,0.580540969
1616,1,0.184554693
1616,1,0.007041706
1616,1,0.274589782
1616,1,0.008741854
1616,1,0.027671059
1616,1,0.025298765
1616,1,0.016271776
1616,1,0.020289237
1616,1,0.013705397
1616,1,0.091977299
1616,1,0.773447666
1616,1,0.161877352
1616,1,0.072236034
1616,1,0.006445524
1616,1,0.136697516
1616,1,0.026223734
1616,1,0.023475827
1616,1,0.108950549
1616,1,0.008569437
1616,1,0.031710092
1616,1,0.103117609
1616,1,0.484967562
1616,1,0.744236889
1616,1,0.013286295
1616,1,0.023475827
1616,1,0.094953167
1616,1,0.01183827
1616,1,0.066556533
1616,1,0.007277602
1616,1,0.01183827
1616,1,0.076831006
1616,1,0.106361805
1616,1,0.542813572
1616,1,0.477484401
1616,1,0.207636899
1616,1,0.003855182
1616,1,0.280577995
1616,1,0.042564049
1616,1,0.040599256
1616,1,0.07679325
1616,1,0.009942059
1616,1,0.003855182
1616,1,0.101908018
1616,1,0.07679325
1616,1,0.758932301
1616,1,0.02601429
1616,1,0.060522181
1616,1,0.012520555
1616,1,0.126450606
1616,1,0.428299847
1616,1,0.501118768
1616,1,0.27336078
1616,1,0.173275425
1616,1,0.221435899
1616,1,0.178861956
1616,1,0.101471419
1616,1,0.562245936
1616,1,0.101009448
1616,1,0.590602255
1616,1,0.856588641
1616,1,0.218731663
1616,1,0.6529324
1616,1,0.360913261
1616,1,0.043865629
1616,1,0.636145883
1616,1,0.512792806
1616,1,0.387737739
1616,1,0.300535523
1616,1,0.060570998
1616,1,0.152904492
1616,1,0.900223937
1616,1,0.456618549
1616,1,0.600329018
1616,1,0.109812198
1616,1,0.562808543
1616,1,0.017557577
1616,1,0.226236773
1616,1,0.117619935
1616,1,0.052813962
1616,1,0.827429735
1616,1,0.518755463
1616,1,0.027671059
1616,1,0.500392916
1616,1,0.78813537
1616,1,0.705610259
1616,1,0.006145331
1616,1,0.963479211
1616,1,0.378956824
1616,1,0.056413402
1616,1,0.935674078
1616,1,0.339165215
1616,1,0.73557571
1616,1,0.037129775
1616,1,0.311503765
1616,1,0.00573944
1616,1,0.029797206
1616,1,0.264864262
1616,1,0.044783959
1616,1,0.484865603
1616,1,0.482995608
1616,1,0.427850839
1616,1,0.89552316
1616,1,0.21425247
1616,1,0.551412916
1616,1,0.008921352
1616,1,0.034098696
1616,1,0.25026794
1616,1,0.026261469
1616,1,0.073736114
1616,1,0.174323254
1616,1,0.329144659
1616,1,0.487643816
1616,1,0.020020718
1616,1,0.016904874
1616,1,0.158387915
1616,1,0.343274859
1616,1,0.166531125
1616,1,0.05701129
1616,1,0.293355836
1616,1,0.032824399
1616,1,0.828911772
1616,1,0.152218724
1616,1,0.02955321
1616,1,0.020020718
1616,1,0.012169857
1616,1,0.372436701
1616,1,0.433920592
1616,1,0.164848896
1616,1,0.182968092
1616,1,0.509774811
1616,1,0.020860737
1616,1,0.613039995
1616,1,0.288009087
1616,1,0.02205309
1616,1,0.071999052
1616,1,0.175988199
1616,1,0.604381594
1616,1,0.441396971
1616,1,0.037129775
1616,1,0.025981203
1616,1,0.886099069
1616,1,0.971552244
1616,1,0.803365008
1616,1,0.383575925
1616,1,0.494499129
1616,1,0.282418531
1616,1,0.392185861
1616,1,0.651676603
1616,1,0.111865865
1616,1,0.394685764
1616,1,0.478538951
1616,1,0.563315371
1616,1,0.929700004
1616,1,0.576213419
1616,1,0.114078331
1616,1,0.723173635
1616,1,0.6529324
1616,1,0.158088396
1616,1,0.094720363
1617,1,0.516345777
1617,1,0.012520555
1617,1,0.205217653
1617,1,0.122092284
1617,1,0.027322484
1617,1,0.256856527
1617,1,0.39757877
1617,1,0.37980216
1617,1,0.25093076
1617,1,0.174102307
1617,1,0.205508486
1617,1,0.684624986
1617,1,0.063188142
1617,1,0.264864262
1617,1,0.09756388
1617,1,0.014628263
1617,1,0.054774899
1617,1,0.029454463
1617,1,0.191763551
1617,1,0.271872916
1617,1,0.240975526
1617,1,0.549178379
1617,1,0.378956824
1617,1,0.795864311
1617,1,0.449537165
1617,1,0.026712055
1617,1,0.724045752
1617,1,0.27996551
1617,1,0.215495546
1617,1,0.010943731
1617,1,0.183644444
1617,1,0.031710092
1617,1,0.003402348
1617,1,0.018331336
1617,1,0.873604449
1617,1,0.202257006
1617,1,0.027671059
1617,1,0.02955321
1617,1,0.003821276
1617,1,0.016935717
1617,1,0.072540629
1617,1,0.131580002
1617,1,0.008090714
1617,1,0.004402007
1617,1,0.003821276
1617,1,0.604381594
1617,1,0.012520555
1617,1,0.117192652
1617,1,0.013076228
1617,1,0.012084786
1617,1,0.006929401
1617,1,0.010418875
1617,1,0.004790269
1617,1,0.008569437
1617,1,0.015309052
1617,1,0.018331336
1617,1,0.834522908
1617,1,0.006929401
1617,1,0.006929401
1617,1,0.044777111
1617,1,0.02886184
1617,1,0.007157711
1617,1,0.027745367
1617,1,0.003889696
1617,1,0.024027509
1617,1,0.020879884
1617,1,0.278234055
1617,1,0.296495173
1617,1,0.343819334
1617,1,0.054774899
1617,1,0.046723155
1617,1,0.132120022
1617,1,0.005383845
1617,1,0.002231546
1617,1,0.056413402
1617,1,0.023248682
1617,1,0.048981826
1617,1,0.231546811
1617,1,0.356335175
1617,1,0.151422081
1617,1,0.483797805
1617,1,0.288500301
1617,1,0.196762299
1617,1,0.033593087
1617,1,0.010174884
1617,1,0.055812618
1617,1,0.007041706
1617,1,0.027671059
1617,1,0.27976733
1617,1,0.107237466
1617,1,0.031710092
